game,date,age,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,minus_plus,wl,point_difference
4,2011-12-30,27-000,MIA,MIN,W (+2),37:13,16,26,0.615,0,1,0.0,2,4,0.5,1,7,8,10,4,1,4,34,31.1,14,W,2
9,2012-01-10,27-011,MIA,GSW,L (-5),42:33,10,19,0.526,0,2,0.0,6,8,0.75,1,10,11,7,2,0,5,26,21.1,-5,L,5
17,2012-01-25,27-026,MIA,DET,W (+3),41:39,9,20,0.45,1,3,0.333,13,14,0.929,1,5,6,7,2,0,4,32,25.1,6,W,3
19,2012-01-29,27-030,MIA,CHI,W (+4),40:58,12,23,0.522,1,1,1.0,10,15,0.667,1,10,11,5,0,1,6,35,22.8,3,W,4
35,2012-03-02,27-063,MIA,UTA,L (-1),44:24,16,24,0.667,1,4,0.25,2,3,0.667,1,9,10,6,0,3,0,35,33.1,7,L,1
38,2012-03-07,27-068,MIA,ATL,W (+3),41:40,12,20,0.6,0,3,0.0,7,10,0.7,4,7,11,2,1,2,2,31,26.9,7,W,3
39,2012-03-10,27-071,MIA,IND,W (+2),47:06,8,19,0.421,2,3,0.667,9,15,0.6,1,7,8,4,4,1,4,27,20.4,3,W,2
41,2012-03-14,27-075,MIA,CHI,L (-4),39:38,14,25,0.56,2,3,0.667,5,5,1.0,1,4,5,4,4,0,2,35,29.0,5,L,4
44,2012-03-20,27-081,MIA,PHO,W (+4),37:54,8,18,0.444,0,3,0.0,4,6,0.667,1,7,8,6,2,2,3,20,16.4,15,W,4
52,2012-04-04,27-096,MIA,OKC,W (+5),41:30,10,20,0.5,3,7,0.429,11,13,0.846,1,6,7,10,4,1,2,34,34.6,20,W,5
59,2012-04-16,27-108,MIA,NJN,W (+3),35:12,11,19,0.579,1,2,0.5,14,15,0.933,1,5,6,7,2,1,4,37,32.7,-4,W,3
3,2012-11-03,27-309,MIA,DEN,W (+3),39:12,8,17,0.471,0,1,0.0,4,4,1.0,1,8,9,11,0,2,0,20,22.7,7,W,3
8,2012-11-12,27-318,MIA,HOU,W (+3),39:55,14,26,0.538,5,8,0.625,5,8,0.625,1,9,10,6,0,0,0,38,31.4,8,W,3
10,2012-11-15,27-321,MIA,DEN,W (+5),41:57,11,23,0.478,0,1,0.0,5,6,0.833,1,6,7,12,1,3,4,27,24.9,9,W,5
13,2012-11-24,27-330,MIA,CLE,W (+2),39:58,10,16,0.625,2,5,0.4,8,9,0.889,1,5,6,5,0,1,7,30,20.6,7,W,2
14,2012-11-29,27-335,MIA,SAS,W (+5),39:06,9,16,0.563,2,5,0.4,3,6,0.5,3,6,9,7,4,0,4,23,22.2,-1,W,5
16,2012-12-04,27-340,MIA,WAS,L (-4),42:53,12,24,0.5,1,4,0.25,1,3,0.333,2,11,13,11,3,2,3,26,26.6,-3,L,4
20,2012-12-12,27-348,MIA,GSW,L (-2),42:21,12,23,0.522,2,4,0.5,5,5,1.0,1,2,3,5,1,0,4,31,21.5,-3,L,2
29,2012-12-31,28-001,MIA,ORL,W (+2),47:53,10,22,0.455,1,6,0.167,15,16,0.938,1,7,8,11,1,0,3,36,31.9,4,W,2
34,2013-01-10,28-011,MIA,POR,L (-2),42:39,6,16,0.375,1,5,0.2,2,5,0.4,0,10,10,9,2,1,4,15,11.8,-9,L,2
41,2013-01-27,28-028,MIA,BOS,L (-2),51:56,14,31,0.452,3,6,0.5,3,5,0.6,4,12,16,7,3,1,3,34,27.9,-2,L,2
45,2013-02-04,28-036,MIA,CHA,W (+5),38:00,13,14,0.929,0,0,,5,6,0.833,0,8,8,8,2,0,5,31,30.6,8,W,5
54,2013-02-24,28-056,MIA,CLE,W (+4),38:51,10,19,0.526,0,1,0.0,8,11,0.727,2,1,3,8,1,0,2,28,23.8,6,W,4
59,2013-03-06,28-066,MIA,ORL,W (+1),38:13,7,14,0.5,1,6,0.167,11,12,0.917,0,3,3,2,0,1,2,26,19.6,8,W,1
63,2013-03-13,28-073,MIA,PHI,W (+4),37:14,8,19,0.421,1,4,0.25,10,12,0.833,2,5,7,8,2,1,4,27,22.9,7,W,4
66,2013-03-18,28-078,MIA,BOS,W (+2),42:15,16,29,0.552,1,4,0.25,4,6,0.667,1,6,7,12,2,2,5,37,30.4,13,W,2
67,2013-03-20,28-080,MIA,CLE,W (+3),42:19,8,22,0.364,3,7,0.429,6,8,0.75,7,5,12,10,3,2,4,25,25.4,1,W,3
71,2013-03-27,28-087,MIA,CHI,L (-4),39:56,11,17,0.647,2,5,0.4,8,11,0.727,0,7,7,3,2,4,4,32,27.9,2,L,4
2,2013-10-30,28-304,MIA,PHI,L (-4),36:38,9,17,0.529,4,7,0.571,3,4,0.75,0,4,4,13,0,0,4,25,21.4,-8,L,4
3,2013-11-01,28-306,MIA,BRK,L (-1),42:14,11,19,0.579,1,2,0.5,3,5,0.6,1,6,7,6,2,1,5,26,19.9,-3,L,1
6,2013-11-07,28-312,MIA,LAC,W (+5),37:09,6,13,0.462,1,3,0.333,5,9,0.556,0,5,5,6,1,0,4,18,10.8,-1,W,5
7,2013-11-09,28-314,MIA,BOS,L (-1),36:32,9,13,0.692,0,0,,7,9,0.778,1,7,8,10,0,0,5,25,23.1,5,L,1
13,2013-11-23,28-328,MIA,ORL,W (+2),37:35,7,13,0.538,3,6,0.5,5,7,0.714,0,9,9,7,3,0,3,22,22.5,7,W,2
17,2013-12-01,28-336,MIA,CHA,W (+1),38:16,8,13,0.615,1,3,0.333,9,10,0.9,0,5,5,4,1,1,3,26,22.7,-4,W,1
25,2013-12-18,28-353,MIA,IND,W (+3),36:14,8,14,0.571,1,3,0.333,7,7,1.0,0,9,9,7,3,0,3,24,23.8,16,W,3
27,2013-12-23,28-358,MIA,ATL,W (+2),45:38,16,28,0.571,4,9,0.444,2,6,0.333,4,4,8,6,2,0,0,38,32.6,-4,W,2
29,2013-12-27,28-362,MIA,SAC,L (-5),43:43,12,23,0.522,4,9,0.444,5,6,0.833,0,8,8,8,0,0,2,33,26.1,-10,L,5
30,2013-12-30,29-000,MIA,DEN,W (+3),39:44,8,15,0.533,5,9,0.556,5,8,0.625,1,5,6,10,0,1,4,26,23.4,4,W,3
33,2014-01-05,29-006,MIA,TOR,W (+5),37:47,12,18,0.667,0,0,,6,7,0.857,1,3,4,5,1,0,1,30,26.5,1,W,5
47,2014-02-05,29-037,MIA,LAC,W (+4),40:47,11,20,0.55,3,7,0.429,6,8,0.75,1,7,8,12,3,1,7,31,27.7,3,W,4
48,2014-02-08,29-040,MIA,UTA,L (-5),39:21,4,13,0.308,1,6,0.167,4,6,0.667,0,7,7,5,0,0,5,13,4.5,0,L,5
50,2014-02-12,29-044,MIA,GSW,W (+1),42:16,14,26,0.538,4,8,0.5,4,7,0.571,1,12,13,9,2,0,2,36,32.4,-2,W,1
56,2014-03-04,29-064,MIA,HOU,L (-3),36:38,9,18,0.5,0,3,0.0,4,6,0.667,1,0,1,6,3,0,1,22,18.7,-15,L,3
60,2014-03-12,29-072,MIA,BRK,L (-1),38:03,6,13,0.462,1,4,0.25,6,9,0.667,0,5,5,7,3,0,5,19,15.1,2,L,1
61,2014-03-14,29-074,MIA,DEN,L (-4),39:50,8,17,0.471,0,4,0.0,5,7,0.714,0,6,6,6,1,0,4,21,13.3,-8,L,4
63,2014-03-18,29-078,MIA,CLE,W (+4),41:40,14,19,0.737,6,8,0.75,9,13,0.692,0,6,6,4,2,3,0,43,42.0,11,W,4
64,2014-03-21,29-081,MIA,MEM,W (+5),38:01,7,14,0.5,0,2,0.0,1,2,0.5,1,5,6,7,2,1,3,15,14.4,4,W,5
66,2014-03-24,29-084,MIA,POR,W (+2),38:22,13,23,0.565,0,1,0.0,6,9,0.667,4,2,6,5,4,0,5,32,25.0,4,W,2
67,2014-03-26,29-086,MIA,IND,L (-1),43:24,11,19,0.579,2,6,0.333,14,15,0.933,0,8,8,5,0,0,6,38,27.4,2,L,1
72,2014-04-04,29-095,MIA,MIN,L (-1),47:57,12,24,0.5,2,4,0.5,8,10,0.8,2,6,8,5,4,1,4,34,26.6,7,L,1
74,2014-04-08,29-099,MIA,BRK,L (-1),37:08,9,16,0.563,0,3,0.0,11,14,0.786,1,9,10,6,2,0,3,29,26.8,-2,L,1
75,2014-04-09,29-100,MIA,MEM,L (-5),41:22,14,23,0.609,3,5,0.6,6,7,0.857,1,5,6,5,2,0,5,37,28.4,-8,L,5
1,2014-10-30,29-304,CLE,NYK,L (-5),43:14,5,15,0.333,1,5,0.2,6,7,0.857,0,5,5,4,0,0,8,17,3.2,-13,L,5
4,2014-11-05,29-310,CLE,UTA,L (-2),42:02,8,18,0.444,3,5,0.6,12,12,1.0,0,3,3,4,3,0,4,31,23.5,3,L,2
7,2014-11-14,29-319,CLE,BOS,W (+1),40:51,16,27,0.593,3,8,0.375,6,9,0.667,0,4,4,7,0,1,3,41,29.5,10,W,1
10,2014-11-19,29-324,CLE,SAS,L (-2),34:06,6,17,0.353,2,3,0.667,1,1,1.0,3,3,6,9,1,1,5,15,10.3,-3,L,2
16,2014-12-02,29-337,CLE,MIL,W (+3),41:05,6,15,0.4,0,4,0.0,14,21,0.667,1,4,5,10,0,0,7,26,16.6,15,W,3
17,2014-12-04,29-339,CLE,NYK,W (+3),39:31,7,17,0.412,1,6,0.167,4,7,0.571,1,4,5,12,2,0,4,19,16.2,12,W,3
20,2014-12-09,29-344,CLE,TOR,W (+4),41:53,12,21,0.571,2,5,0.4,9,9,1.0,1,1,2,4,2,2,2,35,29.9,7,W,4
21,2014-12-12,29-347,CLE,NOP,L (-5),37:37,17,24,0.708,2,2,1.0,5,8,0.625,0,5,5,5,0,1,2,41,33.1,-3,L,5
24,2014-12-19,29-354,CLE,BRK,W (+4),39:56,7,18,0.389,2,4,0.5,6,8,0.75,1,3,4,9,2,0,4,22,15.7,-5,W,4
32,2015-01-16,30-017,CLE,LAC,W (+5),42:29,11,23,0.478,3,8,0.375,7,12,0.583,0,11,11,7,3,0,9,32,18.9,8,W,5
42,2015-02-06,30-038,CLE,IND,L (-4),38:34,10,21,0.476,0,4,0.0,5,8,0.625,0,6,6,5,2,1,7,25,12.9,-3,L,4
50,2015-03-01,30-061,CLE,HOU,L (-2),42:06,15,35,0.429,4,12,0.333,3,11,0.273,2,6,8,4,3,3,4,37,20.8,-8,L,2
56,2015-03-12,30-072,CLE,SAS,W (+3),43:43,10,20,0.5,3,6,0.5,8,10,0.8,0,5,5,7,2,1,3,31,25.5,3,W,3
60,2015-03-20,30-080,CLE,IND,W (+3),39:18,13,26,0.5,2,6,0.333,1,2,0.5,0,7,7,5,0,0,3,29,18.2,-7,W,3
64,2015-03-29,30-089,CLE,PHI,W (+1),37:53,8,24,0.333,1,4,0.25,3,6,0.5,2,9,11,6,0,1,5,20,9.2,-4,W,1
66,2015-04-05,30-096,CLE,CHI,W (+5),36:31,8,17,0.471,1,3,0.333,3,6,0.5,2,8,10,12,3,1,3,20,21.4,10,W,5
67,2015-04-08,30-099,CLE,MIL,W (+5),39:51,8,15,0.533,2,5,0.4,3,4,0.75,2,7,9,8,1,1,2,21,21.3,0,W,5
1,2015-10-27,30-301,CLE,CHI,L (-2),36:04,12,22,0.545,1,5,0.2,0,3,0.0,0,10,10,5,1,0,1,25,18.5,1,L,2
7,2015-11-08,30-313,CLE,IND,W (+4),35:01,10,23,0.435,0,3,0.0,9,14,0.643,0,6,6,4,0,0,2,29,17.5,1,W,4
8,2015-11-10,30-315,CLE,UTA,W (+4),37:51,11,19,0.579,1,3,0.333,8,12,0.667,3,4,7,8,2,0,5,31,25.6,4,W,4
10,2015-11-14,30-319,CLE,MIL,L (-3),45:03,13,27,0.481,5,11,0.455,6,12,0.5,4,8,12,5,1,3,7,37,24.5,-2,L,3
11,2015-11-17,30-322,CLE,DET,L (-5),39:48,11,21,0.524,4,7,0.571,4,5,0.8,0,6,6,3,0,0,4,30,18.0,-6,L,5
15,2015-11-25,30-330,CLE,TOR,L (-4),39:46,6,16,0.375,1,5,0.2,11,12,0.917,2,4,6,8,0,0,2,24,20.6,13,L,4
16,2015-11-27,30-332,CLE,CHO,W (+5),38:13,8,20,0.4,2,5,0.4,7,9,0.778,2,11,13,5,0,0,3,25,17.8,1,W,5
17,2015-11-28,30-333,CLE,BRK,W (+2),35:43,10,22,0.455,1,6,0.167,5,6,0.833,2,7,9,5,1,0,2,26,20.2,-1,W,2
20,2015-12-08,30-343,CLE,POR,W (+5),40:20,14,24,0.583,1,3,0.333,4,4,1.0,1,9,10,3,2,3,2,33,28.2,7,W,5
23,2015-12-17,30-352,CLE,OKC,W (+4),39:37,12,27,0.444,2,5,0.4,7,8,0.875,2,7,9,11,2,0,7,33,23.9,5,W,4
28,2015-12-28,30-363,CLE,PHO,W (+4),35:23,4,10,0.4,1,5,0.2,5,9,0.556,0,4,4,7,2,1,2,14,12.6,3,W,4
35,2016-01-12,31-013,CLE,DAL,W (+3),41:43,9,17,0.529,3,6,0.5,6,8,0.75,3,7,10,7,2,0,4,27,24.2,2,W,3
36,2016-01-14,31-015,CLE,SAS,L (-4),37:20,9,17,0.529,1,3,0.333,3,4,0.75,2,5,7,5,0,0,4,22,14.1,9,L,4
46,2016-02-01,31-033,CLE,IND,W (+5),43:35,9,22,0.409,0,5,0.0,6,10,0.6,2,10,12,6,2,1,1,24,20.1,-1,W,5
48,2016-02-05,31-037,CLE,BOS,L (-1),38:05,9,23,0.391,0,5,0.0,12,17,0.706,3,4,7,4,2,1,6,30,17.5,-7,L,1
56,2016-02-26,31-058,CLE,TOR,L (-2),40:29,9,18,0.5,2,4,0.5,5,9,0.556,1,7,8,7,1,0,6,25,16.3,10,L,2
57,2016-02-29,31-061,CLE,IND,W (+4),36:49,14,22,0.636,2,4,0.5,3,5,0.6,0,5,5,4,2,0,5,33,22.9,12,W,4
60,2016-03-07,31-068,CLE,MEM,L (-3),37:38,11,19,0.579,2,4,0.5,4,5,0.8,2,7,9,5,1,0,4,28,21.9,-9,L,3
72,2016-04-01,31-093,CLE,ATL,W (+2),44:25,12,26,0.462,1,5,0.2,4,5,0.8,3,13,16,9,3,1,3,29,26.6,6,W,2
75,2016-04-09,31-101,CLE,CHI,L (-3),38:33,13,17,0.765,4,5,0.8,3,4,0.75,3,4,7,3,0,1,4,33,27.6,7,L,3
2,2016-10-28,31-303,CLE,TOR,W (+3),38:40,7,16,0.438,2,6,0.333,5,7,0.714,2,6,8,7,0,0,5,21,14.1,0,W,3
6,2016-11-05,31-311,CLE,PHI,W (+1),35:52,9,23,0.391,1,5,0.2,6,7,0.857,1,7,8,14,2,1,5,25,22.0,11,W,1
7,2016-11-08,31-314,CLE,ATL,L (-4),36:52,8,17,0.471,2,5,0.4,5,5,1.0,2,7,9,5,3,0,1,23,22.1,7,L,4
10,2016-11-15,31-321,CLE,TOR,W (+4),38:04,10,15,0.667,2,5,0.4,6,10,0.6,0,9,9,15,1,0,5,28,28.3,1,W,4
14,2016-11-27,31-333,CLE,PHI,W (+4),41:30,9,19,0.474,1,4,0.25,7,9,0.778,2,8,10,13,1,0,5,26,24.4,2,W,4
18,2016-12-05,31-341,CLE,TOR,W (+4),42:01,12,26,0.462,2,7,0.286,8,9,0.889,3,5,8,7,2,0,1,34,28.9,9,W,4
27,2016-12-25,31-361,CLE,GSW,W (+1),40:11,12,22,0.545,4,8,0.5,3,7,0.429,5,8,13,4,2,1,5,31,24.4,4,W,1
33,2017-01-08,32-009,CLE,PHO,W (+4),39:31,11,17,0.647,2,4,0.5,4,6,0.667,3,5,8,4,1,0,7,28,18.9,-2,W,4
39,2017-01-21,32-022,CLE,SAS,L (-3),45:20,11,16,0.688,2,5,0.4,5,7,0.714,0,6,6,7,2,0,7,29,21.1,-16,L,3
40,2017-01-23,32-024,CLE,NOP,L (-2),43:43,11,21,0.524,1,4,0.25,3,4,0.75,2,8,10,12,2,0,6,26,22.7,-10,L,2
41,2017-01-25,32-026,CLE,SAC,L (-4),44:49,8,15,0.533,0,3,0.0,8,11,0.727,4,9,13,11,2,1,5,24,25.2,-1,L,4
47,2017-02-06,32-038,CLE,WAS,W (+5),42:04,12,18,0.667,6,8,0.75,2,5,0.4,0,7,7,17,2,2,6,32,32.0,0,W,5
55,2017-03-01,32-061,CLE,BOS,L (-4),40:02,10,21,0.476,3,6,0.5,5,8,0.625,5,8,13,10,1,1,4,28,25.5,-3,L,4
56,2017-03-03,32-063,CLE,ATL,W (+5),39:10,14,27,0.519,6,10,0.6,4,8,0.5,1,12,13,8,0,0,2,38,29.4,5,W,5
58,2017-03-09,32-069,CLE,DET,L (-5),39:05,12,22,0.545,0,6,0.0,5,8,0.625,4,10,14,10,1,0,3,29,27.6,18,L,5
60,2017-03-12,32-072,CLE,HOU,L (-5),40:10,12,20,0.6,4,11,0.364,2,3,0.667,0,7,7,5,2,0,8,30,19.2,-9,L,5
63,2017-03-19,32-079,CLE,LAL,W (+5),37:51,13,22,0.591,3,8,0.375,5,8,0.625,0,6,6,7,1,0,3,34,26.5,12,W,5
70,2017-04-02,32-093,CLE,IND,W (+5),51:39,16,29,0.552,3,10,0.3,6,12,0.5,4,10,14,11,2,1,1,41,38.3,-1,W,5
74,2017-04-09,32-100,CLE,ATL,L (-1),46:50,11,21,0.524,1,3,0.333,9,10,0.9,3,13,16,10,1,0,3,32,29.9,1,L,1
1,2017-10-17,32-291,CLE,BOS,W (+3),41:12,12,19,0.632,1,5,0.2,4,4,1.0,1,15,16,9,0,2,4,29,28.2,2,W,3
5,2017-10-25,32-299,CLE,BRK,L (-5),41:22,12,20,0.6,1,2,0.5,4,8,0.5,1,9,10,13,0,4,8,29,25.1,-2,L,5
10,2017-11-05,32-310,CLE,ATL,L (-2),40:35,10,17,0.588,0,3,0.0,6,6,1.0,2,3,5,13,1,2,6,26,24.3,-4,L,2
11,2017-11-07,32-312,CLE,MIL,W (+5),36:42,10,20,0.5,2,4,0.5,8,10,0.8,1,7,8,9,3,0,1,30,29.9,6,W,5
12,2017-11-09,32-314,CLE,HOU,L (-4),40:01,15,24,0.625,1,4,0.25,2,3,0.667,0,4,4,7,1,1,8,33,20.0,5,L,4
14,2017-11-13,32-318,CLE,NYK,W (+3),36:16,7,14,0.5,2,4,0.5,7,10,0.7,3,6,9,12,0,3,5,23,23.8,2,W,3
16,2017-11-17,32-322,CLE,LAC,W (+5),46:08,17,26,0.654,4,9,0.444,1,5,0.2,1,13,14,6,0,0,6,39,28.8,1,W,5
19,2017-11-24,32-329,CLE,CHO,W (+1),39:34,10,20,0.5,3,8,0.375,4,7,0.571,1,15,16,13,0,3,3,27,28.4,-2,W,1
23,2017-12-02,32-337,CLE,MEM,W (+5),39:09,13,22,0.591,0,3,0.0,8,8,1.0,0,2,2,12,0,1,5,34,28.1,-5,W,5
26,2017-12-08,32-343,CLE,IND,L (-4),39:25,12,22,0.545,1,5,0.2,4,5,0.8,2,8,10,8,1,2,3,29,26.4,3,L,4
32,2017-12-19,32-354,CLE,MIL,L (-3),34:14,14,22,0.636,6,11,0.545,5,5,1.0,0,1,1,7,3,2,7,39,31.4,-7,L,3
33,2017-12-21,32-356,CLE,CHI,W (+3),39:06,12,23,0.522,2,5,0.4,8,8,1.0,1,5,6,9,3,0,4,34,29.8,5,W,3
36,2017-12-30,33-000,CLE,UTA,L (-3),37:27,12,22,0.545,1,7,0.143,4,5,0.8,1,7,8,6,2,1,6,29,21.3,-5,L,3
39,2018-01-06,33-007,CLE,ORL,W (+4),37:17,12,23,0.522,4,7,0.571,5,7,0.714,3,7,10,9,6,1,3,33,34.7,15,W,4
42,2018-01-12,33-013,CLE,IND,L (-2),40:27,11,25,0.44,2,9,0.222,3,4,0.75,2,6,8,11,3,1,5,27,22.3,-6,L,2
44,2018-01-18,33-019,CLE,ORL,W (+1),34:47,7,16,0.438,0,4,0.0,2,8,0.25,1,4,5,6,1,0,6,16,5.9,-4,W,1
50,2018-01-31,33-032,CLE,MIA,W (+2),38:17,8,21,0.381,1,6,0.167,7,11,0.636,2,9,11,5,1,0,7,24,12.1,3,W,2
53,2018-02-07,33-039,CLE,MIN,W (+2),48:19,16,22,0.727,5,7,0.714,0,2,0.0,1,9,10,15,1,1,5,37,36.6,-1,W,2
64,2018-03-07,33-067,CLE,DEN,W (+5),39:08,15,25,0.6,5,8,0.625,4,8,0.5,1,7,8,10,1,0,3,39,32.9,8,W,5
69,2018-03-17,33-077,CLE,CHI,W (+5),39:53,15,26,0.577,2,8,0.25,1,4,0.25,1,12,13,12,1,2,6,33,27.5,-4,W,5
71,2018-03-21,33-081,CLE,TOR,W (+3),39:24,11,19,0.579,1,3,0.333,12,14,0.857,1,6,7,17,1,0,0,35,39.9,12,W,3
