game,date,age,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,minus_plus,wl,point_difference
25,2005-12-23,20-358,CLE,IND,W (+5),43:51,4,16,0.25,0,1,0.0,6,11,0.545,1,7,8,9,1,0,3,14,9.1,1,W,5
27,2005-12-27,20-362,CLE,NJN,L (-5),40:18,12,21,0.571,1,5,0.2,6,9,0.667,1,9,10,8,2,0,4,31,25.7,-2,L,5
33,2006-01-12,21-013,CLE,LAL,L (-1),40:06,11,22,0.5,2,3,0.667,4,9,0.444,0,2,2,9,0,0,5,28,16.1,5,L,1
35,2006-01-15,21-016,CLE,POR,L (-2),41:19,10,26,0.385,1,5,0.2,8,11,0.727,2,11,13,7,1,3,2,29,23.1,12,L,2
36,2006-01-18,21-019,CLE,DEN,L (-1),41:35,7,20,0.35,2,6,0.333,8,15,0.533,2,9,11,9,0,0,2,24,16.4,-3,L,1
41,2006-01-27,21-028,CLE,IND,W (+4),45:06,12,23,0.522,1,2,0.5,5,8,0.625,1,6,7,9,3,1,6,30,23.6,4,W,4
46,2006-02-04,21-036,CLE,PHI,L (-5),47:11,10,17,0.588,2,7,0.286,9,10,0.9,2,2,4,6,2,1,4,31,27.6,-7,L,5
47,2006-02-06,21-038,CLE,MIL,W (+3),45:21,9,20,0.45,2,7,0.286,2,4,0.5,0,9,9,12,0,2,4,22,17.7,-3,W,3
52,2006-02-15,21-047,CLE,BOS,W (+4),53:55,16,32,0.5,0,5,0.0,11,15,0.733,1,11,12,11,2,4,2,43,37.9,5,W,4
59,2006-03-02,21-062,CLE,CHI,W (+1),46:37,11,27,0.407,0,3,0.0,11,13,0.846,2,9,11,8,0,1,5,33,21.5,4,W,1
62,2006-03-08,21-068,CLE,TOR,W (+1),44:17,13,24,0.542,1,3,0.333,8,12,0.667,1,5,6,6,1,0,0,35,28.4,-4,W,1
65,2006-03-14,21-074,CLE,DAL,L (-4),44:58,14,27,0.519,0,2,0.0,8,8,1.0,1,11,12,5,0,2,4,36,27.2,-8,L,4
67,2006-03-19,21-079,CLE,LAL,W (+1),46:52,10,24,0.417,3,4,0.75,6,10,0.6,1,7,8,7,1,0,7,29,15.1,0,W,1
68,2006-03-22,21-082,CLE,CHA,W (+2),50:11,10,21,0.476,1,5,0.2,16,23,0.696,0,11,11,12,0,1,5,37,29.3,5,W,2
70,2006-03-26,21-086,CLE,HOU,W (+2),48:56,14,34,0.412,0,4,0.0,8,11,0.727,3,3,6,5,2,0,2,36,22.3,4,W,2
73,2006-04-02,21-093,CLE,CHA,W (+4),41:17,13,24,0.542,2,5,0.4,7,9,0.778,1,11,12,8,1,2,3,35,29.6,2,W,4
75,2006-04-05,21-096,CLE,NYK,L (-2),44:48,12,24,0.5,4,7,0.571,8,14,0.571,0,2,2,7,3,0,5,36,23.9,-2,L,2
77,2006-04-10,21-101,CLE,NOK,W (+2),42:07,12,24,0.5,0,3,0.0,8,12,0.667,1,3,4,6,0,0,2,32,21.8,3,W,2
1,2006-11-01,21-306,CLE,WAS,W (+3),40:38,11,24,0.458,2,4,0.5,2,6,0.333,3,7,10,5,0,2,5,26,15.3,3,W,3
3,2006-11-04,21-309,CLE,CHA,L (-4),38:06,3,13,0.231,1,3,0.333,9,10,0.9,4,5,9,7,0,1,2,16,15.6,-3,L,4
6,2006-11-11,21-316,CLE,BOS,W (+1),43:32,9,17,0.529,1,4,0.25,19,23,0.826,1,7,8,5,3,0,2,38,33.8,6,W,1
11,2006-11-21,21-326,CLE,MEM,W (+3),41:59,7,21,0.333,1,5,0.2,0,1,0.0,0,1,1,9,3,1,3,15,9.6,3,W,3
15,2006-11-29,21-334,CLE,NYK,L (-3),41:11,10,22,0.455,0,5,0.0,7,11,0.636,1,6,7,6,0,1,5,27,16.0,-4,L,3
18,2006-12-06,21-341,CLE,TOR,W (+4),40:30,11,18,0.611,1,2,0.5,3,5,0.6,1,5,6,10,1,0,4,26,22.8,2,W,4
21,2006-12-13,21-348,CLE,CHA,W (+3),41:37,6,17,0.353,0,2,0.0,10,11,0.909,1,7,8,7,1,1,6,22,15.1,3,W,3
24,2006-12-20,21-355,CLE,NJN,L (-2),40:11,10,22,0.455,1,3,0.333,16,21,0.762,0,1,1,8,2,1,3,37,27.6,8,L,2
26,2006-12-23,21-358,CLE,ORL,W (+3),42:54,13,21,0.619,2,3,0.667,4,10,0.4,0,7,7,1,0,0,7,32,15.5,3,W,3
30,2007-01-02,22-003,CLE,SAS,W (+4),40:14,7,17,0.412,0,1,0.0,5,11,0.455,0,5,5,5,2,0,3,19,11.1,6,W,4
31,2007-01-03,22-004,CLE,BOS,W (+3),44:47,11,20,0.55,2,3,0.667,8,10,0.8,1,5,6,4,3,1,3,32,27.3,3,W,3
33,2007-01-06,22-007,CLE,NJN,W (+5),44:00,9,21,0.429,1,3,0.333,0,0,,0,13,13,4,3,3,5,19,13.1,4,W,5
37,2007-01-16,22-017,CLE,SEA,L (-5),43:34,8,21,0.381,1,7,0.143,13,15,0.867,1,6,7,8,2,1,4,30,24.5,-7,L,5
40,2007-01-20,22-021,CLE,GSW,W (+2),45:52,14,22,0.636,2,7,0.286,2,5,0.4,0,7,7,5,4,0,9,32,20.8,5,W,2
42,2007-01-24,22-025,CLE,PHI,L (-3),53:10,14,26,0.538,3,8,0.375,8,13,0.615,2,8,10,5,1,0,4,39,27.9,-8,L,3
44,2007-02-01,22-033,CLE,MIA,L (-3),35:35,6,18,0.333,2,7,0.286,3,8,0.375,1,5,6,9,1,0,2,17,10.7,-12,L,3
50,2007-02-14,22-046,CLE,UTA,L (-1),42:39,9,25,0.36,0,3,0.0,5,9,0.556,3,7,10,4,1,3,0,23,16.8,10,L,1
52,2007-02-21,22-053,CLE,TOR,W (+1),36:49,12,25,0.48,0,1,0.0,5,5,1.0,0,4,4,2,1,1,3,29,16.4,5,W,1
54,2007-02-25,22-057,CLE,MIA,L (-5),41:30,10,22,0.455,2,5,0.4,7,12,0.583,0,3,3,7,0,1,2,29,19.3,6,L,5
56,2007-03-01,22-061,CLE,DAL,L (-3),39:58,17,27,0.63,1,4,0.25,4,8,0.5,0,3,3,5,0,0,2,39,26.9,-2,L,3
59,2007-03-07,22-067,CLE,DET,W (+4),50:40,17,31,0.548,1,3,0.333,6,8,0.75,2,5,7,8,3,1,4,41,31.9,8,W,4
60,2007-03-10,22-070,CLE,MIL,W (+2),36:30,12,22,0.545,4,6,0.667,4,4,1.0,0,8,8,9,3,1,6,32,25.8,15,W,2
69,2007-03-28,22-088,CLE,NYK,L (-4),43:55,6,20,0.3,2,5,0.4,10,14,0.714,1,5,6,7,2,0,3,24,15.7,3,L,4
70,2007-03-31,22-091,CLE,CHI,W (+4),47:24,14,25,0.56,0,3,0.0,11,13,0.846,1,4,5,9,3,0,7,39,28.9,4,W,4
72,2007-04-05,22-096,CLE,MIA,L (-4),48:36,11,21,0.524,2,5,0.4,11,13,0.846,2,7,9,5,0,0,4,35,25.3,3,L,4
73,2007-04-06,22-097,CLE,WAS,W (+5),44:25,7,23,0.304,0,3,0.0,11,14,0.786,0,6,6,5,1,1,2,25,14.3,5,W,5
74,2007-04-08,22-099,CLE,DET,L (-5),43:06,5,16,0.313,1,4,0.25,9,11,0.818,1,4,5,6,1,0,5,20,11.3,-11,L,5
2,2007-11-02,22-307,CLE,NYK,W (+4),44:25,13,28,0.464,3,5,0.6,16,22,0.727,3,4,7,7,3,1,3,45,36.7,4,W,4
4,2007-11-06,22-311,CLE,GSW,W (+4),41:51,9,16,0.563,1,2,0.5,5,7,0.714,1,12,13,9,0,3,2,24,25.9,4,W,4
5,2007-11-07,22-312,CLE,UTA,L (-2),40:45,12,27,0.444,1,4,0.25,7,15,0.467,2,13,15,13,3,2,4,32,27.9,4,L,2
6,2007-11-09,22-314,CLE,SAC,W (+2),43:51,10,19,0.526,0,2,0.0,6,8,0.75,0,4,4,4,1,1,1,26,20.2,-1,W,2
9,2007-11-14,22-319,CLE,ORL,L (-1),47:14,15,27,0.556,2,4,0.5,7,9,0.778,4,9,13,14,0,2,4,39,37.6,2,L,1
10,2007-11-16,22-321,CLE,UTA,W (+5),40:16,13,27,0.481,1,3,0.333,13,15,0.867,2,8,10,9,0,3,5,40,31.5,13,W,5
11,2007-11-20,22-325,CLE,MIL,L (-4),44:06,11,22,0.5,1,7,0.143,11,12,0.917,0,7,7,7,1,1,3,34,26.7,-2,L,4
13,2007-11-24,22-329,CLE,TOR,W (+3),44:41,14,29,0.483,2,8,0.25,7,8,0.875,3,9,12,12,3,1,4,37,33.6,7,W,3
14,2007-11-25,22-330,CLE,IND,W (+5),35:47,10,21,0.476,1,6,0.167,9,15,0.6,3,8,11,10,4,1,2,30,30.7,9,W,5
15,2007-11-27,22-332,CLE,BOS,W (+5),45:46,11,25,0.44,2,8,0.25,14,15,0.933,0,4,4,13,2,2,3,38,34.4,14,W,5
20,2007-12-17,22-352,CLE,MIL,W (+5),50:13,10,25,0.4,0,5,0.0,11,13,0.846,1,7,8,5,1,0,2,31,20.8,6,W,5
22,2007-12-20,22-355,CLE,LAL,W (+4),38:28,12,29,0.414,0,3,0.0,9,11,0.818,4,6,10,5,1,1,3,33,22.3,-7,W,4
27,2008-01-02,23-003,CLE,ATL,W (+4),40:05,13,22,0.591,1,3,0.333,9,11,0.818,1,4,5,6,2,1,2,36,31.4,7,W,4
28,2008-01-04,23-005,CLE,SAC,W (+4),45:21,7,18,0.389,1,6,0.167,9,12,0.75,1,7,8,10,5,1,3,24,25.1,7,W,4
29,2008-01-06,23-007,CLE,TOR,W (+3),45:44,14,29,0.483,4,8,0.5,7,12,0.583,3,8,11,8,0,0,1,39,31.0,-1,W,3
34,2008-01-17,23-018,CLE,SAS,W (+2),38:54,9,24,0.375,1,5,0.2,8,12,0.667,3,6,9,7,0,2,3,27,19.0,-11,W,2
37,2008-01-25,23-026,CLE,PHO,L (-2),39:26,14,30,0.467,0,1,0.0,8,10,0.8,2,5,7,5,2,0,1,36,26.0,-12,L,2
38,2008-01-27,23-028,CLE,LAL,W (+3),44:08,16,32,0.5,1,5,0.2,8,12,0.667,3,6,9,4,2,0,5,41,25.5,-3,W,3
39,2008-01-30,23-031,CLE,POR,W (+1),43:53,13,29,0.448,3,6,0.5,8,12,0.667,2,12,14,4,2,2,4,37,26.3,3,W,1
41,2008-02-05,23-037,CLE,BOS,W (+1),42:24,11,21,0.524,4,8,0.5,7,10,0.7,1,8,9,12,5,2,7,33,30.4,12,W,1
